fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_,positivos_totales,tasa_positividad,tasa_positividad
2021-04-15,10479,881,9007,784,0.0840729077202023,0.08704341068058177
2021-04-16,9435,882,8202,771,0.09348171701112877,0.09400146305779078
2021-04-17,3594,320,3167,276,0.08903728436282693,0.08714872118724344
2021-04-18,2295,187,1964,167,0.08148148148148149,0.08503054989816701
2021-04-19,11304,952,9810,843,0.08421797593772117,0.08593272171253823
2021-04-20,11860,1083,10327,940,0.09131534569983137,0.09102353055098286
2021-04-21,11082,772,9534,676,0.06966251579137339,0.07090413257814139
2021-04-22,10527,961,9228,856,0.09128906621069631,0.09276116168183789
2021-04-23,10107,690,8760,605,0.06826951617690709,0.06906392694063927
2021-04-24,3193,257,2765,207,0.08048856874412778,0.07486437613019892
2021-04-25,2674,163,2331,140,0.06095736724008975,0.06006006006006006
2021-04-26,9645,811,8282,705,0.08408501814411612,0.0851243660951461
2021-04-27,9170,701,7955,635,0.07644492911668484,0.0798240100565682
2021-04-28,9534,765,8185,664,0.0802391441157961,0.08112400733048258
2021-04-29,8175,653,7103,568,0.07987767584097859,0.0799662114599465
2021-04-30,7112,490,6116,445,0.068897637795275593,0.07275997383911054
2021-05-01,2140,170,1841,141,0.0794392523364486,0.07658881042911461
2021-05-02,1658,165,1441,145,0.09951749095295537,0.10062456627342123
2021-05-03,7346,650,6234,572,0.08848352845085761,0.09175489252486366
2021-05-04,7172,606,6129,493,0.0844952593418851,0.08043726545929189
2021-05-05,7093,597,6075,504,0.08416748907373467,0.08296296296296296
2021-05-06,6669,543,5748,473,0.08142150247413406,0.08228949199721643
2021-05-07,6313,446,5479,380,0.07064786947568509,0.06935572184705238
2021-05-08,2191,171,1937,146,0.07804655408489275,0.07537429013939081
2021-05-09,1437,69,1232,62,0.04801670146137787,0.05032467532467533
2021-05-10,6015,490,5113,419,0.08146300914380715,0.0819479757480931
2021-05-11,7046,560,6009,477,0.07947771785410161,0.07938092860708937
2021-05-12,7523,601,6561,467,0.07988834241658913,0.07117817405883249
2021-05-13,7116,535,6100,429,0.07518268690275436,0.07032786885245902
2021-05-14,6806,504,5759,424,0.07405230678812812,0.07362389303698559
2021-05-15,2414,121,2000,112,0.050124275062137534,0.056
2021-05-16,1471,81,1215,70,0.055064581917063225,0.05761316872427984
2021-05-17,7240,587,6268,471,0.08107734806629835,0.07514358647096363
2021-05-18,3708,291,3170,241,0.0784789644012945,0.07602523659305993
2021-05-19,7176,465,6148,392,0.06479933110367893,0.06376057254391672
2021-05-20,5853,341,5008,271,0.05826072099777892,0.05411341853035144
2021-05-21,5937,300,5199,274,0.050530570995452245,0.052702442777457205
2021-05-22,2436,140,2116,105,0.05747126436781609,0.04962192816635161
2021-05-23,1320,82,1091,68,0.06212121212121212,0.06232813932172319
2021-05-24,6608,417,5498,326,0.06310532687651332,0.05929428883230266
2021-05-25,6924,463,5917,390,0.0668688619295205,0.06591177961804968
2021-05-26,6986,469,6064,392,0.06713426853707415,0.06464379947229551
2021-05-27,6414,415,5600,343,0.06470221390707827,0.06125
2021-05-28,6112,332,5340,308,0.05431937172774869,0.05767790262172284
2021-05-29,1820,114,1607,98,0.06263736263736264,0.060983198506533914
2021-05-30,1474,82,1236,66,0.05563093622795115,0.05339805825242718
2021-05-31,6436,489,5588,442,0.07597886886264761,0.07909806728704366
2021-06-01,7285,475,6273,419,0.06520247083047358,0.06679419735373825
2021-06-02,6344,543,5495,474,0.08559268600252207,0.08626023657870792
2021-06-03,5690,377,5042,351,0.06625659050966608,0.06961523205077351
2021-06-04,5933,414,4988,346,0.06977920107871229,0.06936647955092222
2021-06-05,1616,165,1443,146,0.1021039603960396,0.10117810117810118
2021-06-06,1026,104,837,84,0.10136452241715399,0.1003584229390681
2021-06-07,6167,600,5366,533,0.09729203826820172,0.09932910920611256
2021-06-08,7256,679,6389,614,0.09357772877618523,0.09610267647519173
2021-06-09,6958,653,6073,600,0.0938488071284852,0.09879795817553104
2021-06-10,5784,487,5106,428,0.08419778699861688,0.08382295338817078
2021-06-11,5975,452,5145,408,0.07564853556485356,0.0793002915451895
2021-06-12,2176,248,1899,216,0.11397058823529412,0.11374407582938388
2021-06-13,1373,147,1135,124,0.10706482155863073,0.1092511013215859
2021-06-14,6446,723,5629,656,0.11216258144585789,0.11653934979570084
2021-06-15,6177,684,5323,600,0.11073336571151045,0.11271839188427578
2021-06-16,6717,717,5915,651,0.10674408217954444,0.11005917159763313
2021-06-17,6967,716,6114,641,0.10277020238266112,0.10484134772652928
2021-06-18,6417,633,5682,577,0.0986442262739598,0.10154875043998592
2021-06-19,2166,326,1912,293,0.1505078485687904,0.1532426778242678
2021-06-20,2051,178,1831,163,0.08678693320331546,0.0890223921354451
2021-06-21,6676,893,6037,829,0.13376273217495507,0.13731986085804207
2021-06-22,8135,1013,7115,937,0.12452366318377382,0.13169360505973296
2021-06-23,8109,1067,7113,974,0.13158219262547785,0.1369323773372698
2021-06-24,138,11,126,10,0.07971014492753623,0.07936507936507936
